@RELATION PREDICCION 

@ATTRIBUTE local {real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,celta-vigo,leganes,valencia,villarreal,alaves,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE visitante{real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,leganes,celta-vigo,valencia,alaves,villarreal,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE NN real 
@ATTRIBUTE VB real 
@ATTRIBUTE ADJ real 
@ATTRIBUTE resultado {1,x,2} 

@data 
getafe,deportivo-la-coruna,0.5185185,0.14814815,0.16666667,1
getafe,deportivo-la-coruna,0.37962964,0.3425926,0.10185185,1
getafe,deportivo-la-coruna,0.3561644,0.24657534,0.19178082,1
malaga,sevilla,0.3888889,0.11111111,0.25,2
malaga,sevilla,0.40963855,0.09638554,0.15662651,2
malaga,sevilla,0.3,0.23333333,0.2,2
athletic-bilbao,valencia,0.3970588,0.19117647,0.2647059,x
athletic-bilbao,valencia,0.3655914,0.23655914,0.13978495,x
athletic-bilbao,valencia,0.3548387,0.14516129,0.19354838,x
eibar,villarreal,0.35526314,0.2236842,0.18421052,1
eibar,villarreal,0.37815127,0.2857143,0.11764706,1
eibar,villarreal,0.4144144,0.15615615,0.18018018,1
atletico-madrid,leganes,0.3508772,0.19298245,0.20175439,1
atletico-madrid,leganes,0.34920636,0.23809524,0.2857143,1
atletico-madrid,leganes,0.3764706,0.24705882,0.16470589,1
espanyol,real-madrid,0.5,0.19444445,0.19444445,1
espanyol,real-madrid,0.41379312,0.18103448,0.12931034,1
espanyol,real-madrid,0.37623763,0.26732674,0.15841584,1
girona,celta-vigo,0.3736842,0.078947365,0.18947369,1
girona,celta-vigo,0.39375,0.2875,0.16875,1
girona,celta-vigo,0.35714287,0.19285715,0.20714286,1
celta-vigo,las-palmas,0.41666666,0.20833333,0.1875,1
celta-vigo,las-palmas,0.30666667,0.26666668,0.18666667,1
celta-vigo,las-palmas,0.37209302,0.22093023,0.25581396,1
levante,espanyol,0.3697479,0.19327731,0.2184874,x
levante,espanyol,0.37037036,0.2685185,0.2037037,x
levante,espanyol,0.4117647,0.1882353,0.22352941,x
